timedate,Calcium,Chloride,Magnesium,Nitrate,Potassium,Sodium,Sulfate,Temperature,Turbidity,Discharge
2022-08-07 00:51:00+00:00,1.469177,2.232169,1.284239,0.000581,0.055652,1.090217,0.603875,28,18.945312,1.41299731
2022-08-07 01:20:00+00:00,1.469726,2.243662,1.286667,0.000774,0.055473,1.090391,0.608208,27.875,19.921875,1.396007362
2022-08-07 01:49:00+00:00,1.460923,2.244338,1.287531,0.000806,0.055959,1.098304,0.603417,27.75,22.949219,1.41299731
2022-08-07 02:19:00+00:00,1.46995,2.244366,1.28823,0.000548,0.056496,1.105435,0.602615,27.5,19.921875,1.41299731
2022-08-07 02:48:00+00:00,1.470399,2.235099,1.289712,0.000581,0.056573,1.097391,0.598,27.375,22.949219,1.396007362
2022-08-07 03:17:00+00:00,1.472743,2.247887,1.288807,0.000435,0.056394,1.098913,0.599875,27.25,23.925781,1.41299731
2022-08-07 03:47:00+00:00,1.476409,2.267014,1.291152,0.000339,0.056675,1.100043,0.6045,27.125,18.945312,1.396007362
2022-08-07 04:16:00+00:00,1.479975,2.266113,1.294486,0.000274,0.056854,1.104478,0.601187,27,18.945312,1.41299731
2022-08-07 04:45:00+00:00,1.481322,2.280507,1.289835,0.000161,0.057161,1.12087,0.602177,26.875,17.96875,1.41299731
2022-08-07 05:14:00+00:00,1.481696,2.283408,1.297284,0.000677,0.057033,1.121739,0.599573,26.875,19.921875,1.396007362
2022-08-07 05:44:00+00:00,1.490249,2.255268,1.30107,0.000323,0.05734,1.112522,0.589625,26.75,19.921875,1.396007362
2022-08-07 06:13:00+00:00,1.481322,2.3,1.298107,0.000419,0.056957,1.118043,0.603979,26.75,19.921875,1.379017415
2022-08-07 06:42:00+00:00,1.481471,2.278789,1.300864,0.000129,0.057391,1.143261,0.593292,26.75,23.925781,1.396007362
2022-08-07 07:11:00+00:00,1.489102,2.314845,1.30251,0.000516,0.05711,1.123043,0.599656,26.625,19.921875,1.379017415
2022-08-07 07:41:00+00:00,1.491571,2.314423,1.302634,0.000516,0.058159,1.12487,0.603469,26.625,20.996094,1.362027467
2022-08-07 08:10:00+00:00,1.492269,2.320141,1.306667,0.000565,0.057519,1.140957,0.603896,26.625,18.945312,1.379017415
2022-08-07 08:39:00+00:00,1.491097,2.311915,1.304856,0.001145,0.057647,1.141913,0.593396,26.625,19.921875,1.345037519
2022-08-07 09:09:00+00:00,1.49591,2.314197,1.304856,0.00079,0.057621,1.133826,0.602031,26.625,19.921875,1.311057624
2022-08-07 09:38:00+00:00,1.498254,2.326028,1.307613,0.000855,0.057442,1.139,0.603573,26.625,18.945312,1.328047572
2022-08-07 10:07:00+00:00,1.499776,2.327127,1.307572,0.000887,0.057749,1.141957,0.607667,26.625,20.996094,1.311057624
2022-08-07 10:36:00+00:00,1.499551,2.334141,1.307037,0.000935,0.058031,1.16113,0.608073,26.5,21.972656,1.311057624
2022-08-07 11:06:00+00:00,1.501372,2.321465,1.302551,0.001081,0.057801,1.146913,0.605719,26.5,19.921875,1.311057624
2022-08-07 11:35:00+00:00,1.505436,2.339662,1.312263,0.001613,,1.163565,0.60999,26.5,20.996094,1.277077729
2022-08-07 12:04:00+00:00,1.508828,2.336761,1.308436,0.002226,0.05757,1.152261,0.60924,26.5,19.921875,1.277077729
2022-08-07 12:33:00+00:00,1.510599,2.340817,1.311852,0.001903,0.058082,1.155913,0.610583,26.5,19.921875,1.245929492
2022-08-07 13:03:00+00:00,1.511072,2.350732,1.311317,0.002194,0.059591,1.160565,0.612333,26.625,19.921875,1.277077729
2022-08-07 13:32:00+00:00,1.512668,2.345465,1.311852,0.001694,0.05821,1.177043,0.602698,26.625,19.921875,1.228939544
2022-08-07 14:01:00+00:00,1.515885,2.342563,1.312634,0.001887,0.059412,1.172348,0.601365,26.75,19.921875,1.260087781
2022-08-07 14:31:00+00:00,1.51783,2.362592,1.313333,0.002242,0.058849,1.164652,0.609562,26.875,18.945312,1.228939544
2022-08-07 15:00:00+00:00,1.522244,2.364197,1.313457,0.002306,0.058721,1.166522,0.609656,27,21.972656,1.211949596
2022-08-07 15:29:00+00:00,1.521845,2.356676,1.31642,0.003145,0.058286,1.169478,0.608417,27,22.949219,1.211949596
2022-08-07 15:58:00+00:00,1.526658,2.35862,1.317695,0.002903,0.059079,1.172565,0.61399,27.125,22.949219,1.228939544
2022-08-07 16:28:00+00:00,1.529102,2.358085,1.319547,0.002984,0.05913,1.19013,0.610354,27.375,22.949219,1.228939544
2022-08-07 16:57:00+00:00,1.529776,2.358507,1.322551,0.002839,0.059054,1.180174,0.611906,27.625,22.949219,1.180801359
2022-08-07 17:26:00+00:00,1.524115,2.367493,1.344115,0.003145,0.059156,1.179522,0.613677,27.75,20.996094,1.180801359
2022-08-07 17:56:00+00:00,1.533965,2.363099,1.322922,0.003016,0.060691,1.182609,0.614052,27.875,20.996094,1.211949596
2022-08-07 18:25:00+00:00,1.544838,2.355352,1.327284,0.003935,0.059207,1.201652,0.619531,28.125,19.921875,1.197791307
2022-08-07 18:54:00+00:00,1.542519,2.362282,1.327942,0.004516,0.059233,1.193783,0.622521,28.5,19.921875,1.197791307
2022-08-07 19:23:00+00:00,1.545062,2.359944,1.329342,0.003613,0.059514,1.205217,0.620042,28.625,18.945312,1.149653122
2022-08-07 19:53:00+00:00,1.549501,2.363324,1.336214,0.003919,0.059744,1.202348,0.624521,28.75,19.921875,1.149653122
2022-08-07 20:22:00+00:00,1.551421,2.358394,1.335885,0.004177,0.059309,1.205174,0.624,29,18.945312,1.180801359
2022-08-07 20:51:00+00:00,1.559252,2.358338,1.340905,0.004323,0.060026,1.208391,0.628302,29.125,18.945312,1.135494832
2022-08-07 21:20:00+00:00,1.557132,2.365606,1.338107,0.003984,0.060179,1.20613,0.62875,29.125,19.921875,1.118504885
2022-08-07 21:50:00+00:00,1.56202,2.357127,1.339383,0.004581,0.060332,1.224957,0.628188,29.125,17.96875,1.118504885
2022-08-07 22:19:00+00:00,1.561546,2.362648,1.34251,0.004565,0.059821,1.211609,0.633979,29.125,17.96875,1.118504885
2022-08-07 22:48:00+00:00,1.562743,2.364507,1.336379,0.003403,0.060051,1.20813,0.624635,29.25,18.945312,1.104346595
2022-08-07 23:18:00+00:00,1.557905,2.385521,1.342634,0.00321,0.060384,1.224826,0.627969,29.125,17.96875,1.104346595
2022-08-07 23:47:00+00:00,1.576409,2.38,1.359177,0.002968,0.059923,1.212739,0.627677,29.125,18.945312,1.118504885
